Year,Population
1960,435990338.0
1961,446564729.0
1962,457283090.0
1963,468138575.0
1964,479229598.0
1965,490140146.0
1966,500740247.0
1967,511606372.0
1968,522716889.0
1969,533880544.0
1970,545864268.0
1971,558096387.0
1972,570482142.0
1973,583465598.0
1974,597041391.0
1975,611309535.0
1976,625861883.0
1977,640801103.0
1978,655728229.0
1979,671155747.0
1980,687354025.0
1981,703696250.0
1982,720313473.0
1983,737372681.0
1984,754875449.0
1985,772647793.0
1986,790689978.0
1987,808931270.0
1988,827342990.0
1989,846039529.0
1990,864972221.0
1991,883927600.0
1992,902957070.0
1993,922118387.0
1994,941163767.0
1995,960301044.0
1996,979678458.0
1997,999133762.0
1998,1018665080.0
1999,1038225823.0
2000,1057922733.0
2001,1077898575.0
2002,1097600380.0
2003,1116803006.0
2004,1135991513.0
2005,1154676322.0
2006,1172878890.0
2007,1190676021.0
2008,1207930964.0
2009,1225524753.0
2010,1243481564.0
2011,1261224954.0
2012,1278674502.0
2013,1295829511.0
2014,1312277191.0
2015,1328024498.0
2016,1343944296.0
2017,1359657400.0
2018,1374659064.0
2019,1389030312.0
2020,1402617695.0
2021,1414203896.0
2022,1425423212.0
2023,1438069596.0
2024,1450935791.0
